Protein,aWT,aWT2,a15G,a15G,a16G,a16G,a15_blank,a15_blank,bWT,bWT2,b5G,b5G,b8G,b8G,b10G,b10G
M1LEA7,1.071655104606341,0.9283448953936593,1.0649932030547187,1.066462782426247,1.1685476134762265,1.1504037729227918,1.1062780881838372,1.1144005947986073,1.072664395655906,0.9273356043440939,0.8881351352927962,0.9442902142806187,0.8328704235498566,0.9505066724054824,0.9800501236801804,0.9375200983089775
M1LEI7,0.9924087580093612,1.0075912419906388,0.8655266749187221,0.7658913518028388,0.9866981303035871,0.8885562271282466,0.785905925448336,0.5240411185562182,0.9842195968224384,1.0157804031775615,0.9781966335277988,1.472412372768931,1.0444349260422092,1.2809506959427261,1.0911527647911923,3.2031918561165065
M1LEL4,1.0510520013209639,0.9489479986790359,0.9944618820937468,0.8002786572244446,0.9372897154144167,0.9304253586981103,0.9133380818032109,0.9340288633697191,1.1229162337385243,0.8770837662614758,0.8051282617823163,0.6223440340512104,0.8639998987420832,0.7399759152499636,0.8067737701085635,0.5960734658787464
M1LEN0,1.222441621111631,0.7775583788883689,0.8820339966711201,0.8633787877016985,0.7489716666204094,0.9657297323581031,0.9907868542058084,0.7139608841023901,1.1491922211194507,0.8508077788805491,0.6219242872764099,0.764433903336551,0.8446289503957444,0.695951822511075,0.768505589525336,0.7322903602161908
M1LEP7,1.2545722155420598,0.7454277844579403,0.9527628972151795,0.9849901001632949,0.7320871773784572,0.5567308550284611,0.7680641771435969,0.4601118117979851,1.2470310602753032,0.7529689397246967,0.8176586383552016,0.7448081483341255,0.9874005958586697,0.9672843814436679,0.9878081343165355,0.5208742457016475
M1LES2,1.0702761060601744,0.9297238939398255,0.8293628622112553,0.7759280632326474,0.7418864223630856,0.7662821457490898,0.7307807790281224,0.7192479124869394,1.1106578623766141,0.889342137623386,0.780319423992902,0.5618026116060042,0.7605440431503349,0.8874073576901322,0.7164817279798434,0.4867859354544113
M1LES6,0.932368384266419,1.067631615733581,0.8218640576231874,0.9696031363179092,0.7705282421729219,0.8178200023186736,0.718529195121163,0.9224747220509322,0.7987221101616103,1.2012778898383898,0.8643720771695736,1.1291622176871767,1.0250250841752304,0.7934255353075843,0.9403607846720625,2.218494158745232
M1LEU2,0.9777008767634682,1.0222991232365317,1.0658837420535763,1.1940517432680247,0.9105083112397678,0.9900135210332369,1.0368493721641368,0.9734772843039736,0.9370328364197382,1.0629671635802618,1.0594111628688314,0.7554726460983092,0.9506865444225278,0.9181491491465164,0.9681264133671191,0.7689252188995498
M1LEW4,1.0114314700463494,0.9885685299536507,0.9542941473882627,0.9601827804668149,0.8961235746312999,1.0496734362720193,0.6887856125582253,0.9656644904649717,0.9561916965468155,1.0438083034531846,0.8023204895796753,0.6026543217071078,0.8389908872114867,0.7023584361008927,0.7691174275218013,0.5325371419281402
M1LEY7,0.8829141454038605,1.1170858545961393,1.2737690574488247,1.2766127864780543,1.1895818293266986,1.1165890031530736,1.2392499975182705,1.361467797617316,0.9361355553689742,1.063864444631026,1.1107647913513705,1.470326436335503,1.148419504037132,1.1696387918564628,1.2578209412863564,1.771152768642489
M1LEZ2,1.0300744952430103,0.9699255047569897,0.8439334193334725,0.8637377910425645,0.7847518118093475,0.8233246141635012,0.8149277760901728,0.8579757611354536,1.0402407114064045,0.9597592885935955,0.7950516525608634,0.8340016226270042,0.8273462769330551,0.8444057023968339,0.7548398810959147,0.5950937056490775
